1; 127.0.0.1; (Logout); Tue, 09 Feb 2021 17:33:51
1; 127.0.0.1; (Loged in); Tue, 09 Feb 2021 17:33:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/001' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/002' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/003' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/004' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/005' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:12 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/006' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/007' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/008' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
1; 127.0.0.1; ( Update ): (final_result) Created: {  in Tue, 26 Jan 2021 08:39:13 }, <br> Modified: , examDate= (2021-01-26 to 2021-02-09), createdBy= (1528 to 1) in condition(s)  first 13   WHERE examNumber = 'VTCL13/CJ/20/009' AND academicYearID = '16' AND courseID = '2' AND examCategoryID = '3'; Tue, 09 Feb 2021 17:34:53
